Rule_ID,If_trigger_condition,Then_adjustment_action,Unless_exception_boundary,Verify_validation_method,Supporting_Case_IDs,Rule_category
"RR-11-F1","患者加装智能反馈模块、电池盒、压力监测垫、振动提醒模块或采集模块后，反馈模块顶压、硌腿、摩擦、局部发红、重量侧偏或与束带操作区域发生干涉，且当前EBOM显示功能模块安装在高压接触区、主束带受力路径、屈曲活动区或日常穿脱操作路径附近。","将功能模块迁移至壳体外侧低压区、平整区或低摆动区，避开主束带受力路径、后膝屈曲高压区和快速扣具操作空间；模块下方增加0.8–1.5 mm柔性隔离垫或减振垫；必要时同步外移束带路径、调整线缆固定点或增加防误触保护结构；主机械支撑结构原则上保持不变。","功能模块重布置不得影响传感器采集方向、信号稳定性和穿脱可靠性；若模块迁移后与支撑杆、铰链或壳体边缘形成新的动态干涉，应进入动态间隙校正规则。","复核模块区域局部压痛、皮肤发红、穿脱操作顺畅性、模块固定稳定性、信号连续性、步行侧偏和与束带或扣具的空间干涉。","C-146;C-151;C-153;C-156;C-161;C-164;C-172;C-178","功能模块安装与低压避让"
"RR-11-F2","患者在屈伸训练、ROM放宽或步行过程中出现传感器线缆拉扯、数据中断、线缆限制屈膝活动或最大屈曲时线缆过紧，且当前EBOM显示线缆沿膝关节活动区直线布置、余量不足或固定点靠近铰链转轴和活动端。","将线缆由直线布置改为S形或柔性余量路径，增加约25 mm动态余量；在线缆路径上新增柔性固定扣或固定点2处；线缆固定点后移或远离铰链转轴约15–18 mm；ROM参数保持已确认范围不变。","线缆余量增加不得造成线缆摆动、缠绕或与支撑杆碰撞；若线缆限制来自功能模块位置错误，应先调整模块安装位置。","复核最大屈曲角度下的线缆拉伸余量、数据连续性、线缆固定稳定性、ROM可达角度和屈伸过程中的线缆干涉。","C-147;C-176","线缆动态余量与信号连续"
"RR-11-F3","智能压力、惯性或采集模块出现数据异常、读数偏高、采集不稳定或被衬垫挤压移位，且当前EBOM显示传感器位于束带与衬垫重叠区、衬垫边缘下方或非真实有效接触区。","将传感器迁移至衬垫主接触区中央、壳体外侧平整区或有效采集区域；传感片与束带边缘保持约20 mm距离，与衬垫边缘保持约5 mm间隙；必要时新增0.5 mm均压层、螺钉+魔术贴双固定结构或定位结构；束带路径和主衬垫形态原则上保持不变。","传感器迁移不得改变原有支撑、减压和束带保持关系；若传感器位置调整后导致局部压迫或模块外壳干涉，应同步进入功能模块低压避让规则。","复核传感器数据稳定性、压力读数合理性、模块固定可靠性、传感器与束带/衬垫的相对位置和患者主观压迫反馈。","C-159;C-167","传感器有效采集位置校正"
"RR-5-X","患者在ROM释放后活动范围改善，但同时出现小腿段下滑、壳体或支撑杆动态干涉、前侧边缘摩擦、线缆拉紧或最大屈曲端部顶碰，且当前EBOM显示ROM参数已放宽但束带保持、壳体边界、支撑杆末端或线缆余量未同步更新。","在保持已确认ROM范围的前提下进行跨模块同步修正：增强小腿段防滑保持，增加防滑衬片或辅助保持带；修整支撑杆末端和壳体相邻边界，保证最大屈曲间隙；裁短或圆角处理前侧壳体干涉边缘；增加线缆动态余量并调整固定点。","若ROM释放后出现明显疼痛、不稳定或无法通过局部修正消除的结构干涉，应回退至上一稳定ROM；不得因局部下滑或摩擦直接否定ROM释放策略。","复核ROM可达角度、上下楼和坐立转换活动表现、小腿段下滑量、支撑杆—壳体最小间隙、前侧边缘摩擦和线缆动态余量。","C-149;C-157;C-165;C-176","ROM释放后的跨模块同步校验"
"RR-8-X","患者在壳体外扩、局部释放、后膝减压、内侧减压或支撑增强后，原疼痛减轻但出现侧向支撑下降、上端下滑、相邻区域压迫、对侧悬空或整体贴合不平衡，且当前EBOM显示单一模块调整后相邻模块未同步补偿。","保留已确认有效的减压或对线调整结果，同时通过对侧壳体支撑面外扩、适配衬垫补偿、束带路径改为斜向交叉保持、防滑衬片增加或相邻衬垫减薄/分压，恢复贴合与稳定平衡；不得简单回退到原压迫配置。","若支撑下降来自铰链轴线错误或支撑杆刚度不足，应进入铰链/支撑杆修正规则；若下滑来自束带路径失效，应进入束带防滑保持规则。","复核减压区域疼痛变化、对侧贴合间隙、侧向支撑感、上端下滑、相邻衬垫压迫和连续步行后的稳定性。","C-150;C-155;C-162;C-166;C-173","减压后的跨模块支撑再平衡"
"RR-3-X","患者为改善稳定性、防下滑或贴合不足而出现束带过度加紧、防滑贴片过厚、壳体边缘摩擦加重或局部压痕明显，且当前EBOM显示束带张力承担了本应由壳体贴合、衬垫分压或防滑结构承担的功能。","将过高束带预紧力恢复至约19–21 N；通过壳体悬空区适配衬垫、防滑衬片面积和厚度优化、低硬度过渡层、束带路径修正和边界柔性包覆来分担保持力；优先解决壳体贴合、衬垫分压或防滑结构问题，而不是继续加紧束带。","若患者处于术后早期高不稳定风险阶段，降低束带张力前必须确认壳体、衬垫和支撑杆已提供足够保护性支撑；不得因舒适性需求直接取消关键固定点。","复核束带预紧力、局部压痕、皮肤发红、壳体贴合间隙、防滑保持效果、步行下滑量和患者主观舒适性。","C-148;C-152;C-160;C-163","束带保持与舒适性冲突协调"
"RR-9-X","患者在铰链对线、支撑杆加强、衬垫加厚或铰链外移后，牵拉感减轻或支撑增强，但相邻衬垫压迫、智能模块间隙不足、支撑杆与功能模块碰撞风险或铰链轴线再次偏离，且当前EBOM显示几何对线调整未同步更新相邻衬垫、壳体或功能模块位置。","保持已确认有效的铰链/支撑杆对线修正，同时同步调整相邻模块：将高压衬垫外移、减薄或增加凝胶分压层；将智能模块上移、后移并保证与支撑杆最小间隙达到约12 mm；必要时回调衬垫厚度并重新校正铰链中心和支撑杆连接角度。","不得用束带偏拉补偿铰链对线偏差；若相邻模块调整后仍存在动态碰撞或轴线偏差，应重新评估铰链中心、支撑杆角度和壳体连接点。","复核铰链轴线匹配、屈伸顺畅性、相邻衬垫压迫、支撑杆—模块动态间隙、传感器固定稳定性和步行稳定性。","C-154;C-162;C-169;C-179","对线修正后的相邻模块协同"
"RR-10-X","患者反馈快速扣具、束带扣合、电池仓或功能模块维护操作不便，且当前EBOM显示功能模块、电池仓、传感器外壳或壳体外扩结构占用了扣具操作路径、束带直线扣合路径或日常维护空间。","优先保证快速穿脱和维护操作路径：将智能反馈模块、电池仓或传感器外壳移出主扣合路径；调整快速扣具安装角度和固定座位置；将电池仓开口方向改至外侧并增加维护盖；保持主束带路径、关键固定点和壳体贴合面不变。","提升维护便利性不得降低扣具锁止可靠性、模块信号稳定性或主束带固定效果；若模块移动后出现信号不稳定，应同步进入功能模块信号稳定规则。","复核单手扣合顺畅性、扣具锁止状态、束带路径是否被占用、电池更换便利性、模块固定可靠性和穿戴后稳定性。","C-156;C-164;C-171;C-175","快速穿脱与功能维护空间协调"
"RR-2-X","患者在切口避让、壳体贴合改善、防下滑加强或抗旋转补偿后，仍出现局部下滑、旋转、固定变差或束带与铰链活动区牵扯，且当前EBOM显示防滑补偿、抗旋转辅助结构或束带—铰链间距未同步更新。","在保留切口避让、壳体贴合或防下滑主调整结果的前提下，增加局部防滑衬片、抗旋转辅助束带或保持片；保证辅助束带与铰链转轴最小距离约25 mm；必要时延长防滑贴片覆盖长度至约85–90 mm，并保持预紧力在约20 N。","防滑或抗旋转结构不得侵入铰链运动区，不得压迫切口或敏感皮肤区域；若下滑来自壳体内腔过松，应优先处理壳体贴合。","复核连续步行后的下滑量、辅具旋转角度、切口避让效果、辅助束带与铰链间距和屈伸活动自由度。","C-170;C-174;C-177","跨模块防滑与抗旋转补偿"
"RR-12-X","康复后期患者整体机械配置、活动范围和功能模块工作状态基本稳定，仅出现智能模块外壳轻微硌腿、防滑衬片边缘起翘、电池更换不便、传感器固定贴片翘起或局部磨损等维护性问题。","仅进行最小局部维护，包括模块外壳圆角处理、柔性隔离垫补充、防滑衬片重新压合、局部固定点增加、电池仓维护盖优化或传感器固定贴片边缘重新固定；传感器位置、线缆路径、束带预紧力、ROM参数和壳体贴合面原则上保持不变。","若出现明显信号中断、模块移位、下滑、疼痛、ROM受限或结构干涉，不能按后期维护处理，应重新进入对应的功能模块、束带、ROM或壳体规则。","复核模块固定稳定性、数据采集状态、局部舒适性、防滑衬片边缘状态、电池维护便利性和是否引入新的机械干涉。","C-161;C-168;C-175;C-180","后期功能扩展最小维护"
