Rule_ID,If_trigger_condition,Then_adjustment_action,Unless_exception_boundary,Verify_validation_method,Supporting_Case_IDs,Rule_category
RR-1,若用户在屈曲、坐起或上下楼过程中出现后膝顶压、发紧或疼痛，且当前后侧接触区间隙偏小。,优先进行后侧局部释放，增加后膝接触区间隙，并优化后侧衬垫边界。,若局部释放会削弱当前稳定性平衡，则不得单独扩大间隙，应联动调整束带保持结构。,后膝疼痛或紧绷感下降，步行稳定性不下降。,C-01,局部舒适性
RR-2,若用户在连续步行后出现辅具下滑、松动或需要频繁手动上提。,重构束带路径，优化小腿段固定点，并增加或强化防滑保持结构。,若调整后局部压力明显升高或皮肤出现压痕，则需降低预紧力或增加缓冲层。,下滑距离减少，手动上提频次降低，小腿局部压痕不加重。,C-02,动态稳定性
RR-3,若用户同时反馈局部勒紧和行走松动，说明舒适性与固定保持存在冲突。,不应简单整体加紧或整体放松，而应重新分配束带张力，并将固定力转移至更耐受区域。,若患者皮肤敏感或局部软组织耐受性差，应优先保证局部减压。,局部勒紧感下降，辅具相对位移不增加。,C-03,冲突协调
RR-4,若用户处于术后保护期，同时存在活动需求和稳定支撑需求。,采用阶段化ROM控制，逐步放宽活动范围，而不是一次性大幅释放。,若临床稳定性要求仍较高，或出现不稳定感，则不得继续扩大ROM上限。,活动范围满足康复目标，未出现新的膝关节不稳定。,C-04,ROM控制
RR-5,若用户反馈上下楼、坐立或日常屈伸受限，且无明显不稳定风险。,在临床允许范围内适度放宽ROM上限，并同步复核支撑杆和铰链约束。,若放宽后出现疼痛、晃动或支撑不足，应回退至上一稳定角度。,日常屈伸便利性提高，无新增不稳定或疼痛。,C-05,ROM控制
RR-6,若用户在束带边界、衬垫边缘或壳体边缘出现摩擦、发红或刮擦感。,进行局部减摩处理，增加柔性覆盖层，扩大接触宽度，并修整边缘过渡。,若增加覆盖层后影响原有固定保持，则需同步复核束带预紧力和防滑结构。,发红或摩擦减轻，无新下滑和无明显闷热不适。,C-06,边界适配
RR-7,若用户皮肤敏感、局部压痕明显或试戴后恢复时间较长。,优先采用低压分布策略，增加缓冲材料，降低局部刚性接触，避免局部点压。,若降低局部压力导致整体稳定不足，应通过结构路径调整补偿，而不是恢复点压。,压痕减轻，皮肤恢复时间缩短，稳定性保持。,C-07,局部舒适性
RR-8,若用户反馈壳体局部悬空、晃动或某侧贴合过紧，且问题不能通过束带调整解决。,调整壳体贴合区域或局部支撑面，必要时进行局部修形或替换适配衬垫。,若患者肢体肿胀仍处于明显变化期，应避免一次性永久修形。,贴合均匀性提高，局部压迫和晃动同时降低。,C-08,结构适配
RR-9,若用户在活动中感到单侧牵拉、转动不顺或关节运动轨迹不自然。,检查膝关节轴线与铰链轴线一致性，调整铰链位置或支撑杆对线。,若调整后影响整体支撑结构强度，应同步复核支撑杆连接和固定件。,屈伸顺畅性提高，牵拉感下降，结构连接无松动。,C-09,结构适配
RR-10,若用户反馈穿脱耗时长、单手操作困难或日常依从性下降。,优先增加快速穿脱模块或优化扣具位置，并减少非必要调节点。,若简化穿脱结构会降低固定可靠性，则必须保留关键固定点。,穿脱时间缩短，用户可独立完成，步行中扣具无松脱。,C-10,操作便利性
RR-11,若增加传感或反馈模块后出现局部突起、异物感或线路牵拉。,调整智能模块安装位置，优化走线方式，避免其进入高压接触区和活动干涉区。,若位置调整会影响传感稳定性，应优先保证核心测量位置，再通过包覆缓冲降低不适。,用户异物感减轻，信号采集稳定，活动中无牵拉。,C-11,智能模块适配
RR-12,若整体支撑、稳定性和活动范围已满足要求，仅残留轻微边界不适。,只进行最小局部优化，不再大幅调整主结构和核心参数。,若局部优化破坏已建立的稳定平衡，应取消该调整。,舒适性小幅提高，前期稳定性和活动改善效果保持。,C-12,收敛控制
